term,category,year,ngrams_freq
throughput,operational,2010,3.361812559887767e-06
throughput,operational,2011,3.680607278511161e-06
throughput,operational,2012,3.967954398831353e-06
throughput,operational,2013,3.253001750636031e-06
throughput,operational,2014,2.6690254344430286e-06
throughput,operational,2015,2.7986779969069175e-06
throughput,operational,2016,3.3878875456139212e-06
throughput,operational,2017,3.1607930850441335e-06
throughput,operational,2018,3.322826842122595e-06
throughput,operational,2019,3.2084253689390607e-06
capacity,operational,2010,7.315944822039455e-05
capacity,operational,2011,6.979398312978446e-05
capacity,operational,2012,7.304672908503562e-05
capacity,operational,2013,7.558633660664782e-05
capacity,operational,2014,6.404706073226407e-05
capacity,operational,2015,6.628224218729883e-05
capacity,operational,2016,7.258597906911746e-05
capacity,operational,2017,6.459090946009383e-05
capacity,operational,2018,6.499719165731221e-05
capacity,operational,2019,6.759273674106225e-05
utilization,operational,2010,7.91016464063432e-06
utilization,operational,2011,8.029927812458482e-06
utilization,operational,2012,1.0199896678386722e-05
utilization,operational,2013,9.243288332072552e-06
utilization,operational,2014,6.873166512377793e-06
utilization,operational,2015,6.586853032786166e-06
utilization,operational,2016,7.540950264228741e-06
utilization,operational,2017,6.8604476837208495e-06
utilization,operational,2018,7.100195489329053e-06
utilization,operational,2019,7.887269021011889e-06
optimization,operational,2010,1.0169482266064733e-05
optimization,operational,2011,1.1274935786786955e-05
optimization,operational,2012,1.381160836899653e-05
optimization,operational,2013,1.2147359484515619e-05
optimization,operational,2014,9.615341696189716e-06
optimization,operational,2015,9.363627214042936e-06
optimization,operational,2016,1.1658727999019902e-05
optimization,operational,2017,1.1692708540067542e-05
optimization,operational,2018,1.3231624507170636e-05
optimization,operational,2019,1.403517399012344e-05
workflow,operational,2010,4.395855285110883e-06
workflow,operational,2011,3.7113484268047614e-06
workflow,operational,2012,3.5307457437738776e-06
workflow,operational,2013,2.877791985156364e-06
workflow,operational,2014,2.1470298179337988e-06
workflow,operational,2015,2.195979050156893e-06
workflow,operational,2016,2.367217575738323e-06
workflow,operational,2017,2.0762684016517596e-06
workflow,operational,2018,2.120269755323534e-06
workflow,operational,2019,2.459722509229323e-06
dashboard,operational,2010,1.8245932551508304e-06
dashboard,operational,2011,1.9942131075367797e-06
dashboard,operational,2012,1.708031959424261e-06
dashboard,operational,2013,1.9414442249399144e-06
dashboard,operational,2014,1.999234427785268e-06
dashboard,operational,2015,2.3425420749845216e-06
dashboard,operational,2016,2.156146365450695e-06
dashboard,operational,2017,2.217421524619567e-06
dashboard,operational,2018,1.861845930761774e-06
dashboard,operational,2019,1.9868439267156646e-06
metrics,operational,2010,6.145683983049821e-06
metrics,operational,2011,6.569795914401766e-06
metrics,operational,2012,5.621767286356771e-06
metrics,operational,2013,5.594272352027474e-06
metrics,operational,2014,5.307699211698491e-06
metrics,operational,2015,5.795651759399334e-06
metrics,operational,2016,6.649582246609498e-06
metrics,operational,2017,6.388398105627857e-06
metrics,operational,2018,6.6279390011914074e-06
metrics,operational,2019,7.383110641967505e-06
performance,operational,2010,0.00013548944843932986
performance,operational,2011,0.00013340199075173587
performance,operational,2012,0.00013393240806180984
performance,operational,2013,0.00013712892541661859
performance,operational,2014,0.00012194260489195585
performance,operational,2015,0.00012062073074048385
performance,operational,2016,0.00013447771198116243
performance,operational,2017,0.0001239402190549299
performance,operational,2018,0.00011801237269537523
performance,operational,2019,0.0001238024706253782
standardization,operational,2010,2.646627535796142e-06
standardization,operational,2011,2.711704837565776e-06
standardization,operational,2012,3.046259053007816e-06
standardization,operational,2013,2.9553959848271916e-06
standardization,operational,2014,2.512910896257381e-06
standardization,operational,2015,2.6675152184907347e-06
standardization,operational,2016,2.8420245143934153e-06
standardization,operational,2017,2.533551651140442e-06
standardization,operational,2018,2.6112677460332634e-06
standardization,operational,2019,2.8094968911318574e-06
efficiency,operational,2010,3.63523286068812e-05
efficiency,operational,2011,3.640140130301006e-05
efficiency,operational,2012,4.341447493061423e-05
efficiency,operational,2013,4.150767927058041e-05
efficiency,operational,2014,3.2634859962854534e-05
efficiency,operational,2015,3.2786654628580436e-05
efficiency,operational,2016,3.705970084411092e-05
efficiency,operational,2017,3.3967633498832583e-05
efficiency,operational,2018,3.527300214045681e-05
efficiency,operational,2019,3.704146001837216e-05
scalable,operational,2010,1.1917244364667567e-06
scalable,operational,2011,1.220906028720492e-06
scalable,operational,2012,1.0493296258573537e-06
scalable,operational,2013,9.937195954989875e-07
scalable,operational,2014,9.447463753531338e-07
scalable,operational,2015,1.0666846037565847e-06
scalable,operational,2016,1.2407683698256733e-06
scalable,operational,2017,1.2046554047628888e-06
scalable,operational,2018,1.3617245713248849e-06
scalable,operational,2019,1.460298790334491e-06
productivity,operational,2010,1.8670174540602602e-05
productivity,operational,2011,1.6771235095802695e-05
productivity,operational,2012,1.878852526715491e-05
productivity,operational,2013,1.9500414055073634e-05
productivity,operational,2014,1.608847378520295e-05
productivity,operational,2015,1.659915506024845e-05
productivity,operational,2016,1.90314203791786e-05
productivity,operational,2017,1.6098818377940916e-05
productivity,operational,2018,1.594188142917119e-05
productivity,operational,2019,1.8068398276227526e-05
stakeholder,operational,2010,4.318498213251587e-06
stakeholder,operational,2011,4.128984073759057e-06
stakeholder,operational,2012,3.821240625256905e-06
stakeholder,operational,2013,4.12048575526569e-06
stakeholder,operational,2014,3.9422166082658805e-06
stakeholder,operational,2015,3.96393124901806e-06
stakeholder,operational,2016,5.13297936777235e-06
stakeholder,operational,2017,5.165266429685289e-06
stakeholder,operational,2018,4.494896074902499e-06
stakeholder,operational,2019,4.496991095948033e-06
consumer,operational,2010,3.499653757899068e-05
consumer,operational,2011,3.069435842917301e-05
consumer,operational,2012,3.094934072578326e-05
consumer,operational,2013,3.0643423087894917e-05
consumer,operational,2014,2.8841965104220435e-05
consumer,operational,2015,2.8670816391240805e-05
consumer,operational,2016,3.25057735608425e-05
consumer,operational,2017,2.5174833353958093e-05
consumer,operational,2018,2.4039089112193324e-05
consumer,operational,2019,2.5318942789454013e-05
enterprise,operational,2010,2.3605311071150936e-05
enterprise,operational,2011,2.1889160052523948e-05
enterprise,operational,2012,1.9399049051571637e-05
enterprise,operational,2013,2.1447131075547077e-05
enterprise,operational,2014,1.8409587937640026e-05
enterprise,operational,2015,1.9257549865869805e-05
enterprise,operational,2016,2.1236597604001872e-05
enterprise,operational,2017,1.8291108062840067e-05
enterprise,operational,2018,1.8349428501096554e-05
enterprise,operational,2019,1.9454615539871156e-05
transformation,operational,2010,3.039355760847684e-05
transformation,operational,2011,3.0220091502997093e-05
transformation,operational,2012,3.639122951426543e-05
transformation,operational,2013,3.607045073295012e-05
transformation,operational,2014,3.0038787372177467e-05
transformation,operational,2015,3.0500332286464982e-05
transformation,operational,2016,3.500244201859459e-05
transformation,operational,2017,3.0809893360128626e-05
transformation,operational,2018,3.084927084273659e-05
transformation,operational,2019,3.31408045894932e-05
deliverable,operational,2010,5.523184540834336e-07
deliverable,operational,2011,5.377112302085152e-07
deliverable,operational,2012,4.4693720724353625e-07
deliverable,operational,2013,4.6063701120147016e-07
deliverable,operational,2014,4.182010684417037e-07
deliverable,operational,2015,4.157292607942509e-07
deliverable,operational,2016,4.3577659880611463e-07
deliverable,operational,2017,3.8985271544333955e-07
deliverable,operational,2018,3.9128528328546963e-07
deliverable,operational,2019,3.421514236379153e-07
leverage,operational,2010,7.694136911595706e-06
leverage,operational,2011,7.451660167134833e-06
leverage,operational,2012,6.247943929338362e-06
leverage,operational,2013,6.4173950704571325e-06
leverage,operational,2014,6.664667125733104e-06
leverage,operational,2015,6.883829428261379e-06
leverage,operational,2016,7.275978077814216e-06
leverage,operational,2017,6.1921441556478385e-06
leverage,operational,2018,5.996248546580318e-06
leverage,operational,2019,6.512749223475112e-06
alignment,operational,2010,9.92538934951881e-06
alignment,operational,2011,9.394095286552329e-06
alignment,operational,2012,9.46371346799424e-06
alignment,operational,2013,9.261514605896082e-06
alignment,operational,2014,8.012340913410299e-06
alignment,operational,2015,8.558146873838268e-06
alignment,operational,2016,9.014214811031707e-06
alignment,operational,2017,7.923041266622022e-06
alignment,operational,2018,8.05846957518952e-06
alignment,operational,2019,8.57385020935908e-06
healing,relational,2010,2.2290732886176556e-05
healing,relational,2011,2.5037574232555926e-05
healing,relational,2012,2.3109150788513944e-05
healing,relational,2013,2.173482243961189e-05
healing,relational,2014,2.250382567581255e-05
healing,relational,2015,2.3480741219827905e-05
healing,relational,2016,2.284590846102219e-05
healing,relational,2017,2.1509838916244917e-05
healing,relational,2018,2.1688716515200213e-05
healing,relational,2019,2.3325788788497448e-05
bedside,relational,2010,4.289569460524945e-06
bedside,relational,2011,4.8543274715484586e-06
bedside,relational,2012,4.755278496304527e-06
bedside,relational,2013,4.520942638919223e-06
bedside,relational,2014,5.360441264201654e-06
bedside,relational,2015,5.199531187827233e-06
bedside,relational,2016,4.76552440886735e-06
bedside,relational,2017,5.164357389730867e-06
bedside,relational,2018,5.112976850796258e-06
bedside,relational,2019,5.247577519185143e-06
compassion,relational,2010,1.0910327546298504e-05
compassion,relational,2011,1.1023673323506955e-05
compassion,relational,2012,1.0313998245692346e-05
compassion,relational,2013,1.0257584108330775e-05
compassion,relational,2014,1.138592870120192e-05
compassion,relational,2015,1.2328941011219285e-05
compassion,relational,2016,1.150017214968102e-05
compassion,relational,2017,1.2981960935576353e-05
compassion,relational,2018,1.3114196917740628e-05
compassion,relational,2019,1.2449317182472441e-05
physician,relational,2010,2.1310152078513056e-05
physician,relational,2011,1.950160731212236e-05
physician,relational,2012,1.9225617506890558e-05
physician,relational,2013,1.881000389403198e-05
physician,relational,2014,1.759918268362526e-05
physician,relational,2015,1.8323113181395456e-05
physician,relational,2016,1.704068563412875e-05
physician,relational,2017,1.5907220586086623e-05
physician,relational,2018,1.69812046806328e-05
physician,relational,2019,1.6416959624621086e-05
professionalism,relational,2010,2.8933507110195933e-06
professionalism,relational,2011,2.566887815191876e-06
professionalism,relational,2012,2.492945441190386e-06
professionalism,relational,2013,2.906907866417896e-06
professionalism,relational,2014,2.81474103758228e-06
professionalism,relational,2015,2.8011450012854766e-06
professionalism,relational,2016,3.379834424777073e-06
professionalism,relational,2017,2.6469904241821496e-06
professionalism,relational,2018,2.4231328552559717e-06
professionalism,relational,2019,2.4938062779256143e-06
relationship,relational,2010,0.0001453046133974567
relationship,relational,2011,0.00014343227667268366
relationship,relational,2012,0.0001461560750612989
relationship,relational,2013,0.00015637002070434391
relationship,relational,2014,0.00014783661754336208
relationship,relational,2015,0.00014620534784626216
relationship,relational,2016,0.00015660545614082366
relationship,relational,2017,0.00013640240649692714
relationship,relational,2018,0.00012815510854125023
relationship,relational,2019,0.00014000397641211748
trust,relational,2010,7.498219929402694e-05
trust,relational,2011,7.443423237418756e-05
trust,relational,2012,6.845623283879831e-05
trust,relational,2013,6.781551928725094e-05
trust,relational,2014,7.615399226779118e-05
trust,relational,2015,7.619093230459839e-05
trust,relational,2016,7.332677341764793e-05
trust,relational,2017,7.510922296205536e-05
trust,relational,2018,7.418724271701649e-05
trust,relational,2019,7.51236584619619e-05
listen,relational,2010,3.564394501154311e-05
listen,relational,2011,3.829631532425992e-05
listen,relational,2012,3.512726107146591e-05
listen,relational,2013,3.4373024391243234e-05
listen,relational,2014,3.9670638216193765e-05
listen,relational,2015,3.880273288814351e-05
listen,relational,2016,3.592441134969704e-05
listen,relational,2017,3.922607720596716e-05
listen,relational,2018,3.779322651098482e-05
listen,relational,2019,4.047914262628183e-05
dignity,relational,2010,1.3058775039098691e-05
dignity,relational,2011,1.2599213732755743e-05
dignity,relational,2012,1.1416007509978954e-05
dignity,relational,2013,1.2678063285420649e-05
dignity,relational,2014,1.3354454495129175e-05
dignity,relational,2015,1.4214337170415092e-05
dignity,relational,2016,1.3899265468353406e-05
dignity,relational,2017,1.5575778888887726e-05
dignity,relational,2018,1.7401722288923338e-05
dignity,relational,2019,1.6470581613248214e-05
comfort,relational,2010,2.6496820282773115e-05
comfort,relational,2011,2.741042226261925e-05
comfort,relational,2012,2.5383913452969864e-05
comfort,relational,2013,2.5729817934916355e-05
comfort,relational,2014,2.8879270757897757e-05
comfort,relational,2015,2.9416751203825697e-05
comfort,relational,2016,2.7083211534773e-05
comfort,relational,2017,3.0421313567785546e-05
comfort,relational,2018,3.0425140721490607e-05
comfort,relational,2019,3.081066824961454e-05
suffering,relational,2010,3.559172182576731e-05
suffering,relational,2011,3.483426553430036e-05
suffering,relational,2012,3.2653220841893926e-05
suffering,relational,2013,3.447985727689229e-05
suffering,relational,2014,3.56417840521317e-05
suffering,relational,2015,3.8027155824238434e-05
suffering,relational,2016,3.727144576259889e-05
suffering,relational,2017,3.7126279494259506e-05
suffering,relational,2018,3.794346048380248e-05
suffering,relational,2019,3.8336642319336534e-05
